交易所简称,交易品种,中文名,交易时段数量,交易时段1,交易时段2,交易时段3,交易时段4,内盘主力合约,外盘交易所,外盘交易代码,交易所网站交易时段数量,交易时段1,交易时段2,交易时段3,交易时段4,交易时段5,交易时段6,time_1,time_2,time_3,time_4
SHFE,AG1,白银,4.0,0900-1015,1030-1130,1330-1500,2100-0230,AG1812,CME,SI,1.0,0600-0500,,,,,,09:00,10:30,13:30,21:00
SHFE,AG2,白银,4.0,0900-1015,1030-1130,1330-1500,2100-0230,AG1812,ICE,ZI,1.0,0800-0600,,,,,,09:00,10:30,13:30,21:00
SHFE,AL1,铝,4.0,0900-1015,1030-1130,1330-1500,2100-0100,AL1811,LME,AH/AHD,1.0,0800-0200,,,,,,09:00,10:30,13:30,21:00
SHFE,AL2,铝,4.0,0900-1015,1030-1130,1330-1500,2100-0100,AL1811,LME,AH/AHD,,0000-2359,,,,,,09:00,10:30,13:30,21:00
SHFE,AL3,铝,4.0,0900-1015,1030-1130,1330-1500,2100-0100,AL1811,LME,AH/AHD,6.0,1855-1900 ,1955-2000 ,2025-2035 ,2215-2220 ,2255-2300 ,2315-0000 ,None,None,None,None
SHFE,AU1,黄金,4.0,0900-1015,1030-1130,1330-1500,2100-0230,AU1812,CME,GC,1.0,0600-0500,,,,,,09:00,10:30,13:30,21:00
SHFE,AU2,黄金,4.0,0900-1015,1030-1130,1330-1500,2100-0230,AU1812,ICE,ZG,1.0,0800-0600,,,,,,09:00,10:30,13:30,21:00
SHFE,CU1,阴极铜,4.0,0900-1015,1030-1130,1330-1500,2100-0100,CU1811,LME,CA/CAD,1.0,0800-0200,,,,,,09:00,10:30,13:30,21:00
SHFE,CU2,阴极铜,4.0,0900-1015,1030-1130,1330-1500,2100-0100,CU1811,LME,CA/CAD,,0000-2359,,,,,,09:00,10:30,13:30,21:00
SHFE,CU3,阴极铜,4.0,0900-1015,1030-1130,1330-1500,2100-0100,CU1811,LME,CA/CAD,6.0,1900-1905 ,1930-1935 ,2025-2035 ,2210-2215 ,2250-2255 ,2315-0000 ,None,None,None,None
SHFE,CU4,阴极铜,4.0,0900-1015,1030-1130,1330-1500,2100-0100,CU1811,CME,HG,1.0,0600-0500,,,,,,09:00,10:30,13:30,21:00
SHFE,NI1,镍,4.0,0900-1015,1030-1130,1330-1500,2100-0100,NI1811,LME,NI,1.0,0800-0200 ,,,,,,09:00,10:30,13:30,21:00
SHFE,NI2,镍,4.0,0900-1015,1030-1130,1330-1500,2100-0100,NI1811,LME,NI,,0000-2359,,,,,,09:00,10:30,13:30,21:00
SHFE,NI3,镍,4.0,0900-1015,1030-1130,1330-1500,2100-0100,NI1811,LME,NI,6.0,1915-1920 ,2000-2005 ,2025-2035 ,2225-2230 ,2305-2310 ,2315-0000 ,None,None,None,None
SHFE,PB1,铅,4.0,0900-1015,1030-1130,1330-1500,2100-0100,PB1811,LME,PB/PBD,1.0,0800-0200 ,,,,,,09:00,10:30,13:30,21:00
SHFE,PB2,铅,4.0,0900-1015,1030-1130,1330-1500,2100-0100,PB1811,LME,PB/PBD,,0000-2359,,,,,,09:00,10:30,13:30,21:00
SHFE,PB3,铅,4.0,0900-1015,1030-1130,1330-1500,2100-0100,PB1811,LME,PB/PBD,6.0,1905-1910 ,1945-1950 ,2025-2035 ,2200-2205 ,2240-2245 ,2315-0000 ,None,None,None,None
SHFE,RU,天然橡胶,4.0,0900-1015,1030-1130,1330-1500,2100-2300,RU1901,TOCOM,JN,2.0,0745-1410,1530-1755,,,,,09:00,10:30,13:30,None
INE,SC1,中质含硫原油,4.0,0900-1015,1030-1130,1330-1500,2100-0230,SC1812,ICE,B,1.0,0800-0600,,,,,,09:00,10:30,13:30,21:00
INE,SC2,中质含硫原油,4.0,0900-1015,1030-1130,1330-1500,2100-0230,SC1812,CME,CL,1.0,0600-0500,,,,,,09:00,10:30,13:30,21:00
SHFE,SN1,锡,4.0,0900-1015,1030-1130,1330-1500,2100-0100,SN1901,LME,SN,1.0,0800-0200 ,,,,,,09:00,10:30,13:30,21:00
